ID,用語,正式名称,カテゴリ,意味,実務例,関連用語,初登場Day,登録状況
G022,メジャー,-,Power BI,フィルター条件に応じて集計結果を動的に計算するDAX式,担当者や期間を選ぶと応答率を再計算する,"DAX, 計算列, CALCULATE, フィルターコンテキスト",9,登録済み
G023,計算列,-,Power BI,各行ごとにDAXで計算した結果を保存する列,問い合わせ日時から曜日列を作成する,"DAX, メジャー, 行コンテキスト",,登録済み
G024,フィルターコンテキスト,-,Power BI,DAXの計算時に適用される絞り込み条件,担当者や月を選択すると応答率の計算対象が変わる,"DAX, CALCULATE, メジャー",9,登録済み
G025,行コンテキスト,-,Power BI,DAXがテーブルの各行を順番に評価するときの現在行の範囲,計算列で各問い合わせの処理時間区分を判定する,"DAX, 計算列, フィルターコンテキスト",,登録済み
G026,CALCULATE,-,Power BI,フィルター条件を変更して式を再計算するDAX関数,特定チームだけの問い合わせ件数を集計する,"DAX, フィルターコンテキスト, メジャー",10,登録済み
G027,データモデル,-,Power BI,複数のテーブルとその関係を分析しやすい形に設計したもの,社員マスターと問い合わせ履歴を社員IDで結ぶ,"リレーションシップ, ディメンションテーブル, ファクトテーブル, セマンティックモデル",,登録済み
G028,リレーションシップ,-,Power BI,共通の列を使ってテーブル同士を関連付ける設定,社員マスターと問い合わせ履歴をEmployeeKeyで結び付ける,"主キー, 外部キー, データモデル",,登録済み
G029,ディメンションテーブル,-,データモデル,人、商品、地域など分析対象を説明する属性情報を持つテーブル,オペレーター名や所属チームを保存し担当者別に分析する,"ファクトテーブル, 主キー, リレーションシップ",,登録済み
G030,ファクトテーブル,-,データモデル,売上や問い合わせなど分析対象となる実績を保存するテーブル,1件の問い合わせを1行として保存しAHTや件数を集計する,"ディメンションテーブル, 外部キー, KPI",,登録済み
G031,主キー,-,データベース,テーブル内の各行を一意に識別する列,EmployeeKeyを使って社員を重複なく識別する,"外部キー, リレーションシップ, unique",,登録済み
G032,外部キー,-,データベース,他のテーブルの主キーを参照する列,問い合わせ履歴のEmployeeKeyから社員マスターを参照する,"主キー, リレーションシップ, ファクトテーブル",,登録済み
G033,動的レポート,-,Power BI,利用者の選択や絞り込みに応じて表示内容が変化するレポート,担当者スライサーを選ぶと全グラフが連動して変わる,"スライサー, フィルター, レポート",,登録済み
G034,レポート,-,Power BI,複数のビジュアルを組み合わせて分析結果を伝える画面,応答率、AHT、件数を1ページにまとめる,"ビジュアル, 動的レポート, ダッシュボード",,登録済み
G035,ダッシュボード,-,Power BI,重要な指標を一目で確認できるようまとめた監視画面,センター長が応答率や放棄呼率を毎日確認する,"KPI, レポート, ビジュアル",,登録済み
G036,ビジュアル,-,Power BI,Power BI上のグラフ、表、カードなどの表示要素,担当者別件数を横棒グラフで表示する,"レポート, ダッシュボード, スライサー",,登録済み
G037,スライサー,-,Power BI,レポート利用者が値を選択して表示を絞り込むビジュアル,担当者や日付を選び全グラフを連動させる,"フィルター, 動的レポート, ビジュアル",,登録済み
G038,フィルター,-,Power BI,条件に合うデータだけを表示や計算の対象にする仕組み,料金問い合わせだけに絞ってAHTを確認する,"スライサー, フィルターコンテキスト, WHERE",,登録済み
G039,ストレージモード,-,Power BI,Power BIがデータを保存または取得する方法を決める設定,小規模CSVはインポート、大量履歴はDirectQueryを選ぶ,"インポート, DirectQuery, デュアル",,登録済み
G040,インポート,-,Power BI,データをPower BIへコピーして保存し、そのコピーを分析する方式,CallHistory.csvを読み込み担当者別件数を分析する,"ストレージモード, DirectQuery, 更新",,登録済み
G041,DirectQuery,-,Power BI,データをコピーせずデータソースへ直接問い合わせる方式,SQL Serverの最新問い合わせ履歴を直接参照する,"ストレージモード, インポート, クエリフォールディング",,登録済み
G042,デュアル,-,Power BI,インポートとDirectQueryを状況に応じて使い分ける方式,社員マスターはインポートし履歴はDirectQueryで取得する,"ストレージモード, インポート, DirectQuery",,登録済み
G043,更新,-,Power BI,データソースから最新データを再取得してモデルへ反映すること,日次CSV更新後にレポートのデータを更新する,"インポート, 増分更新, Power BI Service",,登録済み
G044,増分更新,-,Power BI,新規または変更された期間のデータだけを更新する仕組み,過去数年分を毎回読み込まず直近1日分だけ更新する,"更新, クエリフォールディング, パフォーマンス",,登録済み
G045,パフォーマンスアナライザー,-,Power BI,レポート内のビジュアルやDAXの実行時間を測定する機能,表示が遅い横棒グラフや計算を特定して改善する,"パフォーマンス, DAX, クエリ診断",,登録済み
G046,Power Query,Microsoft Power Query,Power Query,データを取得し分析しやすい形へ変換する機能,CSVの型変更、表記統一、不要列削除を行う,"ETL, クエリフォールディング, 適用したステップ",,登録済み
G047,適用したステップ,-,Power Query,Power Queryで実行した変換処理を順番に記録する一覧,型変更、列削除、値の置換の履歴を確認する,"Power Query, クエリフォールディング",,登録済み
G048,列の品質,-,Power Query,列内の有効値、エラー値、空白値の割合を確認する機能,AHT列の空白やエラー割合を確認する,"データ品質, 列の分布, 列のプロファイル",,登録済み
G049,列の分布,-,Power Query,列に含まれる値の種類数と一意な値の数を確認する機能,オペレーターIDがキーとして使えるか確認する,"distinct, unique, 列のプロファイル",,登録済み
G050,列のプロファイル,-,Power Query,列の統計情報と値の出現分布を詳しく確認する機能,問い合わせ種別の表記揺れと件数を確認する,"列の品質, 列の分布, データ品質",,登録済み
G051,distinct,-,Power Query,列に存在する異なる値の種類数,問い合わせ種別が何種類あるか確認する,"unique, 列の分布, 重複",,登録済み
G052,unique,-,Power Query,列内で1回だけ出現する値の数,EmployeeKeyが全行で一意か確認する,"distinct, 主キー, 列の分布",,登録済み
G053,重複,-,Power Query,同じ値または同じ行が複数存在する状態,社員マスターの社員ID重複を検出して除去する,"unique, 主キー, データ品質",,登録済み
G054,値の置換,-,Power Query,指定した値を別の値へ置き換える変換,料金問合せを料金へ統一する,"表記揺れ, Power Query",,登録済み
G055,クエリフォールディング,-,Power Query,Power Queryの変換をデータソース側のSQLへ変換して実行する仕組み,日付での絞り込みをSQL Server側で処理する,"Power Query, SQL, DirectQuery, ネイティブクエリ",,登録済み
G056,ネイティブクエリ,-,Power Query,接続先のデータソースが直接実行できる形式のクエリ,Power Queryの処理がSQLのSELECT文へ変換されたか確認する,"クエリフォールディング, SQL, SELECT",,登録済み
G057,クエリ診断,-,Power Query,Power Queryの各処理にかかる時間を測定して問題を調査する機能,データ結合に時間がかかっていることを特定する,"Power Query, パフォーマンス, ボトルネック",,登録済み
G058,アペンド,-,Power Query,列構成が同じ複数テーブルを縦方向に結合する処理,月別の問い合わせCSVを1年分につなげる,"マージ, UNION ALL, Power Query",,登録済み
G059,マージ,-,Power Query,共通キーを使って複数テーブルを横方向に結合する処理,問い合わせ履歴へ社員名とチーム名を追加する,"アペンド, JOIN, リレーションシップ",,登録済み
G060,SQL,Structured Query Language,SQL,データベースのデータを取得、集計、更新するための言語,問い合わせ履歴から必要な行と列を抽出する,"ステートメント, SELECT, FROM, WHERE",,登録済み
G061,ステートメント,-,SQL,データベースへ実行する1つのSQL命令文,担当者別問い合わせ件数を取得するSQLを実行する,"SQL, SELECT句, FROM句, WHERE句, クエリ",,登録済み
G062,クエリ,-,SQL,データベースへ問い合わせて結果を取得する命令,7月の問い合わせ履歴だけを取得する,"SQL, ステートメント, SELECT",,登録済み
G063,SELECT,-,SQL,取得したい列や計算結果を指定するSQL句,担当者と応答時間の列を取得する,"FROM, WHERE, SELECT句",,登録済み
G064,SELECT句,-,SQL,SQLステートメント内で取得する列を指定する部分,担当者列とCOUNT結果を表示する,"SELECT, FROM句, ステートメント",,登録済み
G065,FROM,-,SQL,データを取得するテーブルを指定するSQL句,CallHistoryテーブルを取得元にする,"SELECT, WHERE, FROM句",,登録済み
G066,FROM句,-,SQL,SQLステートメント内で取得元のテーブルを指定する部分,CallHistoryを参照先として指定する,"FROM, SELECT句, ステートメント",,登録済み
G067,WHERE,-,SQL,条件に合う行だけへ絞り込むSQL句,料金問い合わせだけを取得する,"SELECT, FROM, WHERE句, フィルター",,登録済み
G068,WHERE句,-,SQL,SQLステートメント内で行の条件を指定する部分,受付日が7月以降の行だけを残す,"WHERE, SELECT句, ステートメント",,登録済み
G069,ORDER BY,-,SQL,結果を指定した列で並び替えるSQL句,AHTが長い担当者から順に表示する,"ASC, DESC, SELECT",,登録済み
G070,ASC,Ascending,SQL,値を小さい順または昇順で並べる指定,応答時間を短い順に並べる,"DESC, ORDER BY",,登録済み
G071,DESC,Descending,SQL,値を大きい順または降順で並べる指定,問い合わせ件数を多い順に並べる,"ASC, ORDER BY",,登録済み
G072,GROUP BY,-,SQL,同じ値を持つ行をグループ化して集計するSQL句,担当者ごとに問い合わせ件数を集計する,"COUNT, SUM, AVG, HAVING",,登録済み
G073,HAVING,-,SQL,GROUP BYで集計した結果に条件を付けるSQL句,問い合わせ件数が100件以上の担当者だけを表示する,"GROUP BY, WHERE, COUNT",,登録済み
G074,COUNT,-,SQL,行数や値の件数を数える集計関数,担当者別問い合わせ件数を計算する,"GROUP BY, SUM, AVG",,登録済み
G075,SUM,-,SQL,数値の合計を求める集計関数,総通話時間を計算する,"COUNT, AVG, GROUP BY",,登録済み
G076,AVG,-,SQL,数値の平均を求める集計関数,平均応答時間を計算する,"COUNT, SUM, GROUP BY",,登録済み
G077,JOIN,-,SQL,共通キーを使って複数テーブルを横方向に結合する処理,問い合わせ履歴と社員マスターを社員IDで結合する,"主キー, 外部キー, マージ",,登録済み
G078,UNION ALL,-,SQL,複数のSELECT結果を重複を残したまま縦方向に結合する演算子,月別問い合わせテーブルを1つにまとめる,"アペンド, SELECT, UNION",,登録済み
G079,UNION,-,SQL,複数のSELECT結果を重複を除いて縦方向に結合する演算子,複数拠点の問い合わせ種別一覧を統合する,"UNION ALL, SELECT, distinct",,登録済み
G080,CAST,-,SQL,データを別のデータ型へ変換するSQLの式,郵便番号を文字列として扱い先頭の0を保持する,"データ型, varchar, SQL",,登録済み
G081,データ型,-,SQL,データを文字列、数値、日付などの種類として扱う属性,応答時間は数値、受付日は日付、郵便番号は文字列にする,"CAST, varchar, Power Query",,登録済み
G082,varchar,Variable Character,SQL,長さが変わる文字列を保存するSQLのデータ型,郵便番号や電話番号を文字列として保存する,"データ型, CAST, SQL",,登録済み
G083,クエリタイムアウト,-,SQL,データ取得やSQL実行に時間がかかりすぎて処理が終了するエラー,取得期間と列を絞ってタイムアウトを解決する,"SQL, DirectQuery, パフォーマンス",,登録済み
G084,T-SQL,Transact-SQL,SQL,Microsoft SQL Serverで使用されるSQLの拡張言語,SQL Serverから問い合わせ履歴を抽出する,"SQL, SELECT, DAX",,登録済み
G085,MDX,Multidimensional Expressions,SQL,Analysis Servicesの多次元モデルへ問い合わせるための言語,キューブから予算や売上を取得する,"DAX, T-SQL, Azure Analysis Services",,登録済み
G086,Microsoft Fabric,-,Microsoft Fabric,データ取得、加工、保存、分析、AIを統合したMicrosoftの分析プラットフォーム,OneLake上の同じデータをPower BIとAIで利用する,"OneLake, Lakehouse, Direct Lake, SaaS",,登録済み
G087,OneLake,-,Microsoft Fabric,Microsoft Fabric全体で共通利用する統合データレイク,部門ごとのデータを1か所で管理して再利用する,"Microsoft Fabric, Lakehouse, Direct Lake",,登録済み
G088,Lakehouse,-,Microsoft Fabric,データレイクの柔軟さとデータウェアハウスの分析しやすさを組み合わせた仕組み,大量の問い合わせ履歴を保存しSQLとPower BIから利用する,"OneLake, Delta-Parquet, Microsoft Fabric",,登録済み
G089,Direct Lake,-,Microsoft Fabric,OneLake上のデータをインポートせず高速にPower BIから利用する方式,Fabricの問い合わせ履歴をコピーせずレポートで分析する,"OneLake, Lakehouse, ストレージモード",,登録済み
G090,Pipelines,-,Microsoft Fabric,データ取得や変換処理を自動化しスケジュール実行する仕組み,毎日CTIデータをOneLakeへ取り込む,"ETL, データフロー, スケジューリング",,登録済み
G091,データフロー,-,Microsoft Fabric,ローコードでデータ取得と変換を定義し再利用する仕組み,問い合わせCSVの整形を共通処理として作る,"Power Query, ETL, Pipelines",,登録済み
G092,Delta-Parquet,-,Microsoft Fabric,Parquet形式へ更新履歴やトランザクション管理を加えたデータ保存形式,問い合わせ履歴を効率よく保存し更新する,"Lakehouse, OneLake, バージョン管理",,登録済み
G093,アップストリーム変換,-,Microsoft Fabric,レポートへ届く前の上流工程で共通データを整えること,担当者名の表記揺れをOneLakeへ保存する前に統一する,"ダウンストリーム変換, データフロー",,登録済み
G094,ダウンストリーム変換,-,Microsoft Fabric,レポートに近い下流工程で目的別にデータを加工すること,特定レポート専用の分類列をPower Queryで追加する,"アップストリーム変換, Power Query",,登録済み
G095,Azure Analysis Services,-,クラウド,企業向けセマンティックモデルをクラウドで提供するPaaSサービス,計算済みKPIモデルをPower BIから利用する,"セマンティックモデル, PaaS, DAX, MDX",,登録済み
G096,SaaS,Software as a Service,クラウド,ソフトウェアをインターネット経由で利用するサービス形態,Power BI Serviceをブラウザから利用する,"PaaS, IaaS, クラウド",,登録済み
G097,PaaS,Platform as a Service,クラウド,アプリ実行に必要な基盤をクラウド事業者が管理して提供する形態,サーバー管理をせずAzure Analysis Servicesを利用する,"SaaS, IaaS, Azure Analysis Services",,登録済み
G098,IaaS,Infrastructure as a Service,クラウド,仮想サーバーやネットワークなどのインフラをクラウドで提供する形態,Azure上の仮想マシンにSQL Serverを構築する,"SaaS, PaaS, クラウド",,登録済み
G099,クラウド,-,クラウド,インターネット経由でサーバーやソフトウェアを利用する仕組み,Power BI ServiceやAzureの分析基盤を利用する,"SaaS, PaaS, IaaS",,登録済み
G100,ガバナンス,-,クラウド,データの利用ルール、品質、権限、安全性を統制する仕組み,認定済みデータだけを公式レポートで利用する,"認定, セキュリティ, データ品質",,登録済み
G101,セキュリティ,-,クラウド,データへの不正アクセスや漏えいを防ぐための管理,個人情報を含む問い合わせデータの閲覧権限を制御する,"ガバナンス, 認証, アクセス許可",,登録済み
G102,認証,-,クラウド,利用者やシステムが本人であることを確認する仕組み,Windows資格情報でSQL Serverへ接続する,"セキュリティ, アクセス許可",,登録済み
G103,アクセス許可,-,クラウド,利用者がどのデータや操作を利用できるかを決める権限,管理者だけがKPIモデルを編集できるようにする,"認証, セキュリティ",,登録済み
G104,バージョン管理,-,Git / GitHub,ファイルの変更履歴を保存し過去の状態へ戻せるようにする仕組み,DATA PATHの更新履歴をGitHubへ残す,"Git, GitHub, コミット",,登録済み
G105,スケジューリング,-,Microsoft Fabric,処理を指定した日時や間隔で自動実行すること,毎朝6時に問い合わせデータを更新する,"Pipelines, 更新",,登録済み
G106,Git,-,Git / GitHub,ファイルの変更履歴をPC上で管理する仕組み,DATA PATHの変更をコミットとして記録する,"GitHub, コミット, ブランチ",,登録済み
G107,GitHub,-,Git / GitHub,Gitの履歴をオンラインで保存、共有、公開するサービス,DATA PATHやSQL成果物を公開する,"Git, リポジトリ, コミット, GitHub Pages",,登録済み
G108,リポジトリ,-,Git / GitHub,プロジェクトのファイルと変更履歴をまとめて管理する場所,data-path-90のファイル一式を管理する,"GitHub, コミット, ブランチ",,登録済み
G109,コミット,-,Git / GitHub,変更内容をひとまとまりの履歴として記録する操作,用語集リンク機能追加という履歴を残す,"Git, GitHub, Push",,登録済み
G110,Push,-,Git / GitHub,ローカルのコミットをGitHubへ送信する操作,VS Codeで編集したDATA PATHをGitHubへ反映する,"コミット, GitHub, Pull",,登録済み
G111,Pull,-,Git / GitHub,GitHub上の最新変更をローカルへ取り込む操作,別PCで更新されたファイルを取得する,"Push, GitHub, コミット",,登録済み
G112,ブランチ,-,Git / GitHub,本体へ影響を与えず別の変更作業を進める分岐,用語集改修を別ブランチで試す,"Git, マージ, リポジトリ",,登録済み
G113,マージ,-,Git / GitHub,別ブランチの変更を1つに統合する操作,完成した用語集機能をmainへ取り込む,"ブランチ, Git, Pull Request",,登録済み
G114,Pull Request,-,Git / GitHub,変更内容を確認して本体への統合を提案する仕組み,用語集改修のレビューを依頼する,"マージ, ブランチ, GitHub",,登録済み
G115,GitHub Pages,-,Git / GitHub,GitHubリポジトリのHTMLをWebサイトとして公開する機能,DATA PATHをURLで閲覧できるようにする,"GitHub, リポジトリ, パブリッシュ",,登録済み
G116,Azure,-,クラウド,Microsoftが提供するクラウドサービス群の総称,Azure上のSQL ServerやAnalysis ServicesへPower BIから接続して分析する,"PaaS, SaaS, Azure Analysis Services",,登録済み
G117,データソース,-,分析基礎,Power BIやSQLが分析対象のデータを取得する元となる場所やシステム,CSV、Excel、SQL Server、Web、Azureから問い合わせ履歴やKPIデータを取得する,"Power BI, SQL Server, CSV, Excel, Azure",,登録済み
G118,SQL Server,-,データベース,Microsoftが提供するリレーショナルデータベース管理システム,問い合わせ履歴や顧客情報を保存しPower BIから接続して分析する,"SQL, データソース, Azure",,登録済み
G119,CSV,Comma-Separated Values,データ形式,データをカンマ区切りで保存するテキスト形式のファイル,問い合わせ履歴をCSVで出力しPower BIへ読み込んで分析する,"データソース, Excel, Power Query",,登録済み
G120,Excel,-,データ形式,Microsoft Excelで作成・編集する表計算ファイル形式,日次の問い合わせ件数や応答時間を管理しPower BIへ取り込む,"データソース, CSV, Power Query",,登録済み
G121,COUNTROWS,-,Power BI,指定したテーブルの行数を数えるDAX関数,問い合わせ履歴の行数を数えて問い合わせ件数メジャーを作成する,"DAX, メジャー, CALCULATE, COUNT",9,登録済み
G122,AVERAGE,-,Power BI,指定した数値列の平均値を求めるDAX関数,通話時間、待ち時間、後処理時間の平均をKPIとして計算する,"DAX, メジャー, AVG, KPI",9,登録済み
G123,DIVIDE,-,Power BI,分母が0の場合の戻り値を指定しながら安全に割り算を行うDAX関数,一次解決件数を問い合わせ件数で割り、一次解決率を計算する,"DAX, メジャー, 一次解決率, SLA達成率",10,登録済み
G124,FILTER,-,Power BI,条件に合う行だけを残したテーブルを返すDAX関数,受付チャネルが電話かつ待ち時間が20秒以内の問い合わせだけを抽出して集計する,"DAX, CALCULATE, フィルターコンテキスト, WHERE",10,登録済み
G125,SLA,Service Level Agreement,コールセンターKPI,サービス提供者と利用者の間で定めるサービス品質の目標や基準,電話問い合わせのうち一定割合を20秒以内に応答する目標を設定する,"KPI, SLA達成率, 待ち時間",10,登録済み
G126,SLA達成率,Service Level Achievement Rate,コールセンターKPI,SLAで定めた条件を満たした問い合わせの割合,20秒以内に応答した電話件数を電話問い合わせ件数で割って算出する,"SLA, KPI, DIVIDE, FILTER",10,登録済み
G127,一次解決率,First Contact Resolution Rate,コールセンターKPI,顧客の問い合わせが最初の対応で解決した割合。FCRとも呼ばれる,一次解決件数を問い合わせ件数で割り、再入電や再対応の発生状況を確認する,"KPI, CALCULATE, DIVIDE, メジャー",10,登録済み
G128,データクレンジング,Data Cleansing,Power Query,誤記、欠損、重複、表記揺れなどを修正し、分析に使える状態へ整える処理,TELを電話へ、chatをチャットへ置換して受付チャネルを3種類に統一する,"データ品質, 表記揺れ, 値の置換, Power Query",10,登録済み
G129,カード,Card visual,Power BI,1つまたは複数の重要な数値を大きく表示するPower BIのビジュアル,問い合わせ件数、一次解決率、SLA達成率をKPIカードとして並べる,"ビジュアル, KPI, レポート, メジャー",10,登録済み
G130,待ち時間,Wait Time,コールセンターKPI,顧客が受付後、担当者の応答や処理開始まで待った時間,電話問い合わせの待ち時間が20秒以内かを判定し、SLA達成件数を集計する,"SLA, SLA達成率, AVERAGE, KPI",9,登録済み
G131,Clean,Clean Data,分析基礎,欠損、重複、誤記、表記揺れなどを修正し、分析に利用できる状態へ整えたデータまたは処理段階,受付チャネルのTELを電話、chatをチャットへ統一し、Cleanデータとして分析に利用する,"データクレンジング, データ品質, 表記揺れ, Power Query",10,登録済み
G132,カーディナリティ,Cardinality,データモデル,リレーションシップで結ばれる2つのテーブル間における値の対応関係を示す設定,担当者マスタの1人に対して問い合わせ履歴が複数あるため、1対多の関係を設定する,"リレーションシップ, 主キー, 外部キー, ディメンションテーブル, ファクトテーブル",9,登録済み
G133,スター スキーマ,Star Schema,データモデル,中央のファクトテーブルを複数のディメンションテーブルが取り囲む形で設計するデータモデル,問い合わせ履歴を中央に置き、担当者、顧客、日付、拠点、問い合わせ種別の各マスタを接続する,"データモデル, ファクトテーブル, ディメンションテーブル, リレーションシップ",9,登録済み
G134,フィルター伝播,Filter Propagation,データモデル,あるテーブルに適用された絞り込み条件が、リレーションシップを通じて別のテーブルへ伝わる仕組み,担当者名を選ぶと、その担当者に対応する問い合わせ履歴だけに絞られ、件数や平均時間が再計算される,"リレーションシップ, フィルター, フィルターコンテキスト, データモデル",9,登録済み
